               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067492,            0.049692,            0.080431,            0.027667,             0.43936,             0.03527,            0.018695,            0.040862,             0.02492,            0.071041,            0.070028,           0.0033302,           0.0033302
                   1,            0.047037,            0.047462,            0.073887,             0.16709,             0.13907,            0.081508,            0.041214,            0.038541,             0.02393,            0.064742,            0.039995,           0.0066305,           0.0066305
                   2,            0.046673,            0.046474,            0.066102,             0.26563,             0.26035,              0.1512,            0.072937,            0.039897,            0.024631,            0.054349,           0.0099293,           0.0098979,           0.0098979
                   3,            0.045664,            0.046634,            0.059758,             0.26279,             0.30446,             0.20638,             0.10321,            0.038882,            0.025404,            0.047526,           0.0098515,           0.0098515,           0.0098515
                   4,            0.044503,            0.046816,            0.055309,             0.28247,             0.34952,             0.25108,              0.1302,            0.037567,            0.025582,             0.04525,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04366,            0.046193,             0.05111,             0.35576,             0.37299,             0.30218,             0.15824,            0.037586,            0.024351,            0.040489,            0.009802,            0.009802,            0.009802
                   6,             0.04249,            0.045705,            0.048473,             0.39975,             0.43377,             0.36377,             0.19068,            0.036688,            0.023925,             0.03636,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042013,             0.04537,            0.045816,             0.43812,              0.4242,             0.39295,             0.20807,            0.036191,            0.023847,            0.034253,            0.009703,            0.009703,            0.009703
                   8,            0.042033,            0.045318,            0.044125,             0.45308,             0.43087,             0.40218,             0.20975,            0.039138,             0.02392,            0.033212,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041795,            0.044948,            0.042045,             0.43236,             0.44399,             0.41935,             0.22229,            0.037328,            0.023527,            0.031182,            0.009604,            0.009604,            0.009604
                  10,            0.041284,            0.044546,             0.04069,             0.50585,             0.48086,             0.46664,             0.24911,            0.035814,            0.023299,            0.027159,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041287,            0.044242,            0.038307,             0.50719,             0.48172,             0.46918,             0.24344,            0.036605,            0.023288,            0.026189,            0.009505,            0.009505,            0.009505
                  12,            0.040444,            0.043759,            0.037375,             0.52004,             0.49384,             0.48675,             0.25974,             0.03612,            0.023247,            0.024891,           0.0094555,           0.0094555,           0.0094555
